domain_length,domain_num_of_unique_char ,domain_num_of_unique_letters ,domain_num_of_unique_numbers ,ratio_of_letters_of_domain_name ,ratio_of_numbers_of_domain_name,ratio_of_unique_letters_to_num_of_unique_characters,ratio_of_unique_numbers_to_num_of_unique_characters,domain_class
12,9,8,1,0.75,0.25,0.888888889,0.111111111,legit
10,8,7,1,0.7,0.3,0.875,0.125,legit
7,6,4,2,0.571428571,0.428571429,0.666666667,0.333333333,legit
14,10,8,2,0.785714286,0.142857143,0.8,0.2,legit
10,9,7,2,0.7,0.3,0.777777778,0.222222222,legit
7,6,4,2,0.571428571,0.428571429,0.666666667,0.333333333,legit
7,7,3,4,0.428571429,0.571428571,0.428571429,0.571428571,legit
9,8,5,3,0.666666667,0.333333333,0.625,0.375,legit
7,6,4,2,0.714285714,0.285714286,0.666666667,0.333333333,legit
14,12,10,2,0.857142857,0.142857143,0.833333333,0.166666667,legit
11,2,0,2,0,1,0,1,legit
7,5,2,3,0.571428571,0.428571429,0.4,0.6,legit
7,7,4,3,0.571428571,0.428571429,0.571428571,0.428571429,legit
7,7,5,2,0.714285714,0.285714286,0.714285714,0.285714286,legit
8,8,6,2,0.75,0.25,0.75,0.25,legit
7,5,0,5,0,1,0,1,legit
7,7,0,7,0,1,0,1,legit
7,6,0,6,0,1,0,1,legit
7,5,0,5,0,1,0,1,legit
7,5,2,3,0.428571429,0.571428571,0.4,0.6,legit
7,7,3,4,0.428571429,0.571428571,0.428571429,0.571428571,legit
7,7,3,4,0.428571429,0.571428571,0.428571429,0.571428571,legit
7,6,3,3,0.428571429,0.571428571,0.5,0.5,legit
8,8,4,4,0.5,0.5,0.5,0.5,legit
12,8,4,4,0.666666667,0.333333333,0.5,0.5,legit
14,9,7,2,0.642857143,0.285714286,0.777777778,0.222222222,legit
8,7,4,3,0.5,0.5,0.571428571,0.428571429,legit
7,5,4,1,0.714285714,0.142857143,0.8,0.2,legit
11,7,6,1,0.818181818,0.090909091,0.857142857,0.142857143,legit
13,8,6,2,0.615384615,0.307692308,0.75,0.25,legit
13,10,8,2,0.615384615,0.307692308,0.8,0.2,legit
13,8,6,2,0.615384615,0.384615385,0.75,0.25,legit
8,3,0,3,0,1,0,1,legit
10,4,0,4,0,1,0,1,legit
9,6,4,2,0.555555556,0.444444444,0.666666667,0.333333333,legit
9,6,4,2,0.555555556,0.444444444,0.666666667,0.333333333,legit
9,6,4,2,0.555555556,0.444444444,0.666666667,0.333333333,legit
9,6,4,2,0.555555556,0.444444444,0.666666667,0.333333333,legit
18,13,11,2,0.722222222,0.222222222,0.846153846,0.153846154,legit
11,8,6,2,0.636363636,0.363636364,0.75,0.25,legit
11,8,6,2,0.636363636,0.363636364,0.75,0.25,legit
8,5,3,2,0.5,0.5,0.6,0.4,legit
15,11,9,2,0.733333333,0.266666667,0.818181818,0.181818182,legit
9,7,5,2,0.555555556,0.444444444,0.714285714,0.285714286,legit
19,11,9,2,0.789473684,0.210526316,0.818181818,0.181818182,legit
